maker,name,price
エイスース ASUS,S500SD-G7400LU [デスクトップパソコン/Pentium Gold G7400/メモリ 8GB/SSD 256GB/Windows 11 Home/WPS Office2 Standard Edition/ブラック],"￥84,800"
ミニスフォーラム MINISFORUM,UM690-32/512-W11Pro（6900HX） [小型デスクトップパソコン/Ryzen 9 6900HX/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥124,800"
デル DELL,SI60-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥134,800"
ミニスフォーラム MINISFORUM,TH60-16/512-W11Pro（11400H） [小型デスクトップパソコン/Core i5-11400H/UHD Graphics/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥84,190"
デル DELL,AI537-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥137,000"
デル DELL,AI567T-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥197,800"
デル DELL,SI70-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i7-13700/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥169,800"
ミニスフォーラム MINISFORUM,NPB7-32/1T-W11Pro（13700H） [ミニパソコン/Core i7-13700H/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥142,480"
HP,613V7PA-AAAL [一体型デスクトップパソコン/HP 27-cb0000 AiO G1モデル/27型/Ryzen 7 5700U/メモリ 16GB/SSD 512GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥200,800"
エイスース ASUS,PN53-S7099AD [超小型ミニパソコン/Ryzen 7 7735H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥115,520"
