maker,name,price
デル DELL,DA90-DNLCW [ゲーミングデスクトップPC/Alienware Aurora R15/Core i7-13700KF/GeForce RTX 3070 LHR/メモリ 32GB/SSD 1TB＋HDD 2TB/Windows 11 Home/ルナライト（シルバーホワイト）],"￥439,800"
レノボ･ジャパン Lenovo,90T100BLJP [ゲーミングデスクトップPC/IdeaCentre Gaming 570i/ Core i5/GeForce GTX 1660 SUPER/ SSD 512GB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/ブラック],"￥168,300"
デル DELL,AI537-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥159,800"
ガレリア GALLERIA,XR747T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥399,980"
HP,613V6PA-AAAB [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 5/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2019/スターリーホワイト],"￥180,400"
ECS イーシーエス,LIVAQ3P-8/128-W10Pro（V1605B） [小型デスクトップパソコン/Ryzen Embedded V1605B/メモリ 8GB/eMMC 128GB/Windows 10 Pro],"￥88,680"
ECS イーシーエス,LIVAZ3-8/128-W10IoT（N6000） [小型デスクトップパソコン/Pentium N6000/メモリ 8GB/eMMC 128GB/Windows 10 IoT Enterprise LTSC],"￥69,780"
デル DELL,AI557-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥179,800"
デル DELL,AI567T-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥175,800"
レイトレック raytrek,4CR7F-47-6100 R32 [デスクトップパソコン/レイトレック/Core i7-13700F/GeForce RTX 4070 12GB GDDR6X/メモリ 64GB/SSD 1TB/Windows 11 Home],"￥349,980"
マウスコンピューター mouse computer,DGI7G70YC25CNHW3 [ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home],"￥309,800"
マウスコンピューター mouse computer,GTSPCMI127G306P22H [スリムゲーミングデスクトップパソコン/Core i7/メモリ 16GB/SSD 1TB （NVMe）/HDD 1TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows11 Pro],"￥329,800"
マウスコンピューター mouse computer,DGI7G60YC25CNHW3 [ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4060/Windows 11 Home],"￥264,800"
レイトレック raytrek,4CR7F-47-3100 R32 [デスクトップパソコン/レイトレック/Core i7-13700F/GeForce RTX 4070 12GB GDDR6X/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥319,980"
マウスコンピューター mouse computer,DGI7G70YC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home],"￥304,800"
MSI エムエスアイ,Trident X2 13NUF-065JP [ゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4070 Ti/Windows 11 Home],"￥498,740"
レノボ･ジャパン Lenovo,90SM0060JP [デスクトップPC/ IdeaCentre 370i/ Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /グレー],"￥82,280"
HP,613V6PA-AAAA [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 5/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/スターリーホワイト],"￥158,400"
MSI エムエスアイ,Trident X2 13NUI-028JP [ウルトラハイエンドゲーミングデスクトップパソコン/Core i9-13900KF/メモリ 32GB/SSD 2TB/GeForce RTX 4090/Windows 11 Pro/2年保証/数量限定],"￥954,800"
デル DELL,DA90-CWLCB [ゲーミングデスクトップ/Alienware Aurora R13/Core i7-12700KF/メモリ 32GB/SSD 512GB＋HDD 2TB/Windows 11 Home/ダークグレー],"￥435,380"
ガレリア GALLERIA,RR536T-1500-YC31-740 [ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥247,980"
MSI エムエスアイ,Creator P50 13TC-251JP [クリエイター向けデスクトップパソコン/Core i5-13400F/メモリ 16GB/SSD 512GB＋HDD 1TB/GeForce RTX 3060/Windows 11 Pro],"￥198,000"
ガレリア GALLERIA,ZR9K49-1100-YC31-307 [ゲーミングデスクトップパソコン/ガレリア/Core i9-13900KF/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥724,980"
エイサー Acer,PO5-650-H73Z/407T [ゲーミングデスクトップPC/Predator Orion 5000/Core i7-13700F/GeForce RTX 4070 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥398,800"
ガレリア GALLERIA,ZR7K47T-1100-YC31-1335 [ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥494,980"
ECS イーシーエス,LIVAZ3-8/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 8GB/eMMC 64GB/Windows 11 Pro],"￥56,170"
ECS イーシーエス,LIVAZ3-4/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 4GB/eMMC 64GB/Windows 11 Pro],"￥51,780"
【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],"￥37,640"
ECS イーシーエス,LIVAZ3-4/64-W11Pro（N4500） [小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64GB/Windows 11 Pro],"￥50,560"
アップル Apple,Apple Mac Studio Apple M2 Maxチップ カスタマイズモデル（CTO）,"￥326,800"
MSI エムエスアイ,Trident AS 13NUC5-494JP [ゲーミングデスクトップPC Core i5-13400F/メモリ16GB/SSD 1TB/GeForce RTX 4060/Wi-Fi 6E/Windows 11 Home],"￥230,780"
マウスコンピューター mouse computer,mouseスリムデスクトップパソコン Core i5-12400/メモリ 16GB カスタマイズモデル（CTO）,"￥164,800"
エイスース ASUS,PN53-S5097AD [超小型ミニパソコン/Ryzen 5 7535H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥97,150"
アップル Apple,Apple Mac Studio Apple M2 Ultraチップ カスタマイズモデル（CTO）,"￥654,800"
アップル Apple,Apple Mac Pro Apple M2 Ultraチップ カスタマイズモデル（CTO）,"￥1,048,800"
ECS イーシーエス,LIVAQ3P-4/64-W10Pro（R1505G） [小型デスクトップパソコン/Ryzen Embedded R1505G/メモリ 4GB/eMMC 64GB/Windows 10 Pro],"￥66,480"
GIGABYTE ギガバイト,AORUS GPC-04R3060R57XW [ゲーミングデスクトップパソコン/GIGABYTE AORUS GAMING PC/Ryzen 7 5700X/GeForce RTX 3060/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥183,170"
MSI エムエスアイ,Trident X2 13NUG-029JP [ハイエンドゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4080/Windows 11 Pro/2年保証/数量限定],"￥613,800"
マウスコンピューター mouse computer,DGI7G6TYC25CNHW3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/GeForce RTX 4060 Ti/メモリ 32GB/SSD 500GB/Windows11 Home/ホワイト],"￥284,800"
GIGABYTE ギガバイト,AORUS GPC-04R3060I127W [ゲーミングデスクトップパソコン/GIGABYTE AORUS GAMING PC/Core i7-12700/GeForce RTX 3060/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥208,440"
エイサー Acer,PO5-650-H73Z/408 [ゲーミングデスクトップPC/Predator Orion 5000/Core i7-13700F/GeForce RTX 4080/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥488,800"
デル DELL,AI759-DNLWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥164,800"
ECS イーシーエス,LIVAZ3-4/64-W10IoT（N4500） [小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC],"￥56,890"
マウスコンピューター mouse computer,DGI7G6TYC45CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/GeForce RTX 4060 Ti/メモリ 64GB/SSD 500GB/Windows11 Home/ブラック],"￥289,800"
マウスコンピューター mouse computer,DGI7G6TYC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/GeForce RTX 4060 Ti/メモリ 32GB/SSD 500GB/Windows11 Home/ブラック],"￥279,800"
【パソコン安心スタートパック】 [ECS デスクトップパソコン Ryzen Embedded R1505G/eMMC 64GB/Windows 10 Pro LIVAQ3P-4/64-W10Pro（R1505G） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],【パソコン安心スタートパック】 [ECS デスクトップパソコン Ryzen Embedded R1505G/eMMC 64GB/Windows 10 Pro LIVAQ3P-4/64-W10Pro（R1505G） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],"￥58,490"
【パソコン安心スタートパック】 [ECS デスクトップパソコン Ryzen Embedded V1605B/eMMC 128GB/Windows 10 Pro LIVAQ3P-8/128-W10Pro（V1605B） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],【パソコン安心スタートパック】 [ECS デスクトップパソコン Ryzen Embedded V1605B/eMMC 128GB/Windows 10 Pro LIVAQ3P-8/128-W10Pro（V1605B） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],"￥80,690"
【パソコン安心スタートパック】 [ECS デスクトップパソコン Celeron Processor N6000/eMMC 128GB/Windows 11 Pro LIVAZ3-8/128-W11Pro（N6000） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],【パソコン安心スタートパック】 [ECS デスクトップパソコン Celeron Processor N6000/eMMC 128GB/Windows 11 Pro LIVAZ3-8/128-W11Pro（N6000） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],"￥62,350"
【パソコン安心スタートパック】 [ミニスフォーラム デスクトップパソコン SSD 512GB/Windows 11 Pro UM690-16/512-W11Pro（6900HX） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],【パソコン安心スタートパック】 [ミニスフォーラム デスクトップパソコン SSD 512GB/Windows 11 Pro UM690-16/512-W11Pro（6900HX） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],"￥112,490"
【パソコン安心スタートパック】 [ミニスフォーラム デスクトップパソコン UHD Graphics/Windows 11 Pro TH60-16/512-W11Pro（11400H） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],【パソコン安心スタートパック】 [ミニスフォーラム デスクトップパソコン UHD Graphics/Windows 11 Pro TH60-16/512-W11Pro（11400H） ＋ ウイルスバスター ＋ ノートン IDアドバイザー ＋ ソースネクスト 厳選バラエティパック],"￥71,200"
